comtrs,lbs_ai_amph
,199.20579025
56S01N20W06,11.30857564
56S01N20W08,1.48850716
56S01N21W01,2.24538772
56S01N21W02,13.7121928
56S01N21W03,2.69446834
56S01N21W04,3.82396016
56S01N21W05,3.71510052
56S01N21W06,0.97886272
56S01N21W08,42.99749688
56S01N21W09,20.1287288
56S01N21W10,43.6149885
56S01N21W11,25.29805446
56S01N21W12,4.60348008
56S01N21W14,1.1158959
56S01N21W15,47.19322158
56S01N21W16,28.48243732
56S01N21W19,5.13718146
56S01N21W20,2.72169094
56S01N21W21,8.95180596
56S01N21W22,14.140002879999999
56S01N21W23,7.73041864
56S01N21W27,16.23738886
56S01N21W28,6.47462626
56S01N21W33,16.34669452
56S01N22W01,1.94344756
56S01N22W02,12.50319302
56S01N22W06,0.79569996
56S01N22W12,15.12064706
56S01N22W13,1.0614507
56S01N22W14,1.09896534
56S01N22W22,5.6681174
56S01N22W23,12.12235952
56S01N22W24,7.32135678
56S01N22W25,14.831588239999999
56S01N22W26,20.82296572
56S02N19W14,0.30927182
56S02N20W02,0.321622
56S02N20W03,0.48943136
56S02N20W04,10.8545368
56S02N20W14,0.8077091
56S02N20W23,11.47189586
56S02N20W32,8.622212560000001
56S02N21W15,10.1382653
56S02N21W17,0.50744694
56S02N21W20,4.81610858
56S02N21W29,14.2344207
56S02N21W30,3.1843674799999997
56S02N21W33,3.14354896
56S02N21W34,1.79673774
56S02N21W35,7.9649944
56S02N21W36,9.62114356
56S02N22W09,2.5583861
56S02N22W10,7.5526719799999995
56S02N22W14,23.07987396
56S02N22W18,16.19566426
56S02N22W19,17.85424212
56S02N22W30,1.3662033
56S02N22W31,4.05077942
56S02N22W32,16.02532698
56S02N23W11,7.17290902
56S02N23W13,13.35413102
56S02N23W24,9.27327872
56S02N23W25,5.1142345
56S02N23W26,11.89375388
56S02N23W36,12.13198778
56S03N19W20,2e-4
56S03N19W28,4e-4
56S03N19W29,8e-4
56S03N19W30,1.2245172
56S03N19W34,0.24396394
56S03N20W01,0.1681504
56S03N20W02,1.45327424
56S03N20W04,0.51645286
56S03N20W06,0.77921012
56S03N20W08,0.16814666
56S03N20W09,0.62164036
56S03N20W10,1.46529086
56S03N20W12,0.75065914
56S03N20W23,5.1456712200000005
56S03N20W34,0.57350656
56S03N20W35,2.73840556
56S03N21W12,2.6369737
56S03N21W19,3.27685472
56S03N21W20,2.89406158
56S03N21W21,4.11442684
56S03N21W29,0.06804112
56S03N21W30,2.04550924
56S03N21W31,3.27028016
56S03N21W35,0.05629822
56S03N21W36,0.20643304
56S03N22W23,1.1259905799999999
56S03N22W24,1.1486092799999998
56S03N22W25,4.5e-4
56S03N22W35,2.150124
56S03N22W36,5.22563184
56S03N24W17,4.09614002
56S04N18W30,2.3315445
56S04N19W25,0.0979603
56S04N19W28,0.41286234
56S04N19W34,0.0869762
56S04N20W24,1.82391768
56S04N20W26,1.28813454
56S04N22W06,0.39409502
